id,vuln_id,server_group,link,vulnerability
"48","0a09de1c49","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id28","212223 (3) - KB5048654: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (December 2024)"
"49","6ee8f05ecc","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id29","214122 (3) - KB5049983: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (January 2025)"
"50","853ead99e4","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id30","214274 (3) - Security Updates for Microsoft .NET Framework (January 2025)"
"51","5775d4d753","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id31","214542 (3) - 7-Zip &lt; 24.09 (ZDI-25-045)"
"52","8e8da7f105","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id32","216140 (3) - KB5051979: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (February 2025)"
"53","befb456209","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id33","232621 (3) - KB5053603: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (March 2025)"
"54","36c52c6e94","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id34","234042 (3) - KB5055526: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (April 2025)"
"55","b0e956f99f","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id35","235856 (3) - KB5058385: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (May 2025)"
"56","20ecc0caf6","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id36","238083 (3) - KB5060526: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (June 2025)"
"57","dc9138b43c","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id37","241550 (3) - KB5062572: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (July 2025)"
"58","6695fea185","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id38","250295 (3) - Microsoft Edge (Chromium) &lt; 139.0.3405.102 Multiple Vulnerabilities"
"59","49b347d39c","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id39","181409 (2) - Curl 7.84 &lt;= 8.2.1 Header DoS (CVE-2023-38039)"
"60","e3cfb8ec39","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id40","181867 (2) - Notepad++ &lt; 8.5.7 Multiple Buffer Overflow Vulnerabilities"
"61","56901dabc6","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id41","209058 (2) - Azul Zulu Java Multiple Vulnerabilities (2024-10-15)"
"62","3c9d433b8e","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id42","240630 (2) - Notepad++ &lt; 8.8.2 Privilege Escalation (CVE-2025-49144)"
"63","1b9d51da33","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id43","242138 (2) - Azul Zulu Java Multiple Vulnerabilities (2025-07-15)"
"64","27a9ef233d","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id44","242192 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.95 Multiple Vulnerabilities"
"65","669957182c","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id45","242849 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.109 Multiple Vulnerabilities"
"66","6c95ac8340","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id46","243240 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.121 (CVE-2025-8292)"
"67","8e4ca15047","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id47","245584 (2) - Microsoft Edge (Chromium) &lt; 139.0.3405.86 Multiple Vulnerabilities"
"68","f5aba8eb76","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id48","175601 (1) - PostgreSQL 11.x &lt; 11.20 / 12.x &lt; 12.15 / 13.x &lt; 13.11 / 14.x &lt; 14.8 / 15.x &lt; 15.3 Multiple Vulnerabilities"
"69","0c6a6c3855","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id49","179922 (1) - PostgreSQL 11.x &lt; 11.21 / 12.x &lt; 12.16 / 13.x &lt; 13.12 / 14.x &lt; 14.9 / 15.x &lt; 15.4 Multiple Vulnerabilities"
"70","db1768e2ca","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id50","185732 (1) - PostgreSQL 11.x &lt; 11.22 / 12.x &lt; 12.17 / 13.x &lt; 13.13 / 14.x &lt; 14.10 / 15.x &lt; 15.5 / 16.x &lt; 16.1 Multiple Vulnerabilities"
"71","3497a7becf","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id51","186777 (1) - KB5033118: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (December 2023)"
"72","4ef3c1a6b5","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id52","187790 (1) - KB5034129: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (January 2024)"
"73","06985a378f","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id53","190481 (1) - KB5034770: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (February 2024)"
"74","c538961522","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id54","190512 (1) - PostgreSQL 12.x &lt; 12.18 / 13.x &lt; 13.14 / 14.x &lt; 14.11 / 15.x &lt; 15.6 SQL Injection"
"75","45afb4fb72","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id55","191947 (1) - KB5035857: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (March 2024)"
"76","fa64bb9efd","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id56","193095 (1) - KB5036909: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (April 2024)"
"77","c43dd5733b","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id57","197015 (1) - KB5037782: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (May 2024)"
"78","750d21cebf","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id58","205594 (1) - PostgreSQL 12.x &lt; 12.20 / 13.x &lt; 13.16 / 14.x &lt; 14.13 / 15.x &lt; 15.8 / 16.x 16.4 SQL Injection&lt;"
"79","741642a5be","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id59","208757 (1) - Security Updates for Microsoft .NET Framework (October 2024)"
"80","8c75535b38","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id60","211655 (1) - PostgreSQL 12.x &lt; 12.21 / 13.x &lt; 13.17 / 14.x &lt; 14.14 / 15.x &lt; 15.9 / 16.x &lt; 16.5 / 17.x &lt; 17.1 Multiple Vulnerabilities"
"81","9ec0894e06","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id61","213521 (1) - Security Updates for Microsoft Excel Products C2R (November 2024)"
"82","8778e616ab","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id62","213522 (1) - Security Updates for Microsoft Excel Products C2R (December 2024)"
"83","0a4fbd3258","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id63","213631 (1) - Mozilla Thunderbird ESR &lt; 128.6"
"84","f67bf5f0b9","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id64","214843 (1) - Security Updates for Microsoft Excel Products C2R (January 2025)"
"85","dadaa9e325","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id65","216321 (1) - Security Updates for Microsoft Excel Products C2R (February 2025)"
"86","246876d616","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id66","216586 (1) - PostgreSQL 13.x &lt; 13.19 / 14.x &lt; 14.16 / 15.x &lt; 15.11 / 16.x &lt; 16.7 / 17.x &lt; 17.3 SQLi"
"87","7a3d2c8191","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id67","232742 (1) - Security Updates for Microsoft Excel Products C2R (March 2025)"
"88","1c0d431800","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id68","234233 (1) - Security Updates for Microsoft Excel Products C2R (April 2025)"
"89","e5f84e9edc","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id69","234923 (1) - Mozilla Thunderbird ESR &lt; 128.10"
"90","b181b0766d","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id70","235616 (1) - Microsoft Edge (Chromium) &lt; 136.0.3240.64 (CVE-2025-4372)"
"91","ba76274be2","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id71","236841 (1) - Security Updates for Microsoft Excel Products C2R (May 2025)"
"92","c16e4b9175","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id72","237505 (1) - Microsoft Edge (Chromium) &lt; 137.0.3296.52 Multiple Vulnerabilities"
"93","3ffb1688b9","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id73","237731 (1) - Microsoft Edge (Chromium) &lt; 137.0.3296.62 Multiple Vulnerabilities"
"94","d4590aaa00","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id74","238443 (1) - Microsoft Edge (Chromium) &lt; 137.0.3296.83 Multiple Vulnerabilities"
"95","5efb342646","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id75","240112 (1) - Security Updates for Microsoft Excel Products (June 2025)"
"96","11b249fd58","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id76","241151 (1) - Microsoft Edge (Chromium) &lt; 138.0.3351.65 Multiple Vulnerabilities"
"97","679196dcf8","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id77","241978 (1) - Security Updates for Microsoft Excel Products (July 2025)"
"98","4ad39f648a","EDC TEST servers","http://10.35.160.166/PLUGIN/08/EDC TEST servers_fo0hoz.html#id78","250282 (1) - Security Updates for Microsoft Excel Products (August 2025)"
"99","dc21959fbe","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id5","186366 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.16"
"100","138a2b5ba1","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id6","201843 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.25"
"101","b1b95ba59c","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id7","235033 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.40 multiple vulnerabilities"
"102","72c6fe2662","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id8","237499 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.41"
"103","61827c188f","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id9","240058 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.42 multiple vulnerabilities"
"104","cde923bfda","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id10","241705 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.43 multiple vulnerabilities"
"105","e31e1f85fd","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id11","243577 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.40 multiple vulnerabilities"
"106","fe5c2e98a4","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id12","249230 (4) - Apache Tomcat 10.1.0.M1 &lt; 10.1.44"
"107","028e6d16c2","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id13","103569 (2) - Windows Defender Antimalware/Antivirus Signature Definition Check"
"108","cd7d61336f","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id14","180360 (2) - 7-Zip &lt; 23.00 Multiple Vulnerabilities"
"109","3dccdc9711","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id15","181867 (2) - Notepad++ &lt; 8.5.7 Multiple Buffer Overflow Vulnerabilities"
"110","7164604ec1","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id16","209231 (2) - 7-Zip &lt; 24.01 Heap-based Buffer Overflow"
"111","4abed6dcf5","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id17","211725 (2) - 7-Zip &lt; 24.07 RCE (ZDI-24-1532)"
"112","074273589a","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id18","212223 (2) - KB5048654: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (December 2024)"
"113","061a7cb2ea","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id19","214122 (2) - KB5049983: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (January 2025)"
"114","e59ee207d3","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id20","214274 (2) - Security Updates for Microsoft .NET Framework (January 2025)"
"115","7d2a8893bd","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id21","214542 (2) - 7-Zip &lt; 24.09 (ZDI-25-045)"
"116","b5ba4f59bc","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id22","216140 (2) - KB5051979: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (February 2025)"
"117","6b68ad848f","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id23","232621 (2) - KB5053603: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (March 2025)"
"118","b6d8abe118","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id24","234042 (2) - KB5055526: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (April 2025)"
"119","b23db1e3ec","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id25","235856 (2) - KB5058385: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (May 2025)"
"120","7812799494","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id26","238083 (2) - KB5060526: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (June 2025)"
"121","a76b3db748","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id27","240630 (2) - Notepad++ &lt; 8.8.2 Privilege Escalation (CVE-2025-49144)"
"122","f59444e75e","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id28","241550 (2) - KB5062572: Windows Server 2022 / Azure Stack HCI 22H2 Security Update (July 2025)"
"123","b0cd0d128f","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id29","242192 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.95 Multiple Vulnerabilities"
"124","41c63537b8","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id30","242849 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.109 Multiple Vulnerabilities"
"125","a4ff369fd7","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id31","243240 (2) - Microsoft Edge (Chromium) &lt; 138.0.3351.121 (CVE-2025-8292)"
"126","9f85be8a8e","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id32","245584 (2) - Microsoft Edge (Chromium) &lt; 139.0.3405.86 Multiple Vulnerabilities"
"127","3d0951f4df","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id33","250295 (2) - Microsoft Edge (Chromium) &lt; 139.0.3405.102 Multiple Vulnerabilities"
"128","60e5558162","EDC UAT servers","http://10.35.160.166/PLUGIN/08/EDC UAT servers_pgfsx4.html#id34","175601 (1) - PostgreSQL 11.x &lt; 11.20 / 12.x &lt; 12.15 / 13.x &lt; 13.11 / 14.x &lt; 14.8 / 15.x &lt; 15.3 Multiple Vulnerabilities"
